MatchId;Home midfield;Away midfield;Home Right Defence;Away Right Defence;Home Central Defence;Away Central Defence;Home Left Defence;Away Left Defence;Home Right Attack;Away Right Attack;Home Central Attack;Away Central Attack;Home Left Attack;Away Left Attack;Home Indirect Defence;Away Indirect Defence;Home Indirect Attack;Away Indirect Attack;Home Attitude;Away Attitude;Home Tactic;Away Tactic;Home Tactic Level;Away Tactic Level;Home Goals;Away Goals
631157390;12;6;14;7;18;7;17;5;7;8;5;9;6;6;15;9;14;10;(Hidden);(Hidden);Normal;Normal;(no tactic);(no tactic);8;0
631157391;5;4;5;5;5;7;6;6;6;6;6;5;8;6;6;8;7;9;(Hidden);(Hidden);Normal;Normal;(no tactic);(no tactic);3;2
631157392;4;3;4;6;7;6;8;3;7;7;6;5;5;7;8;7;9;8;(Hidden);(Hidden);Normal;Normal;(no tactic);(no tactic);4;2
631157393;7;11;7;16;7;17;5;17;8;16;9;7;6;20;9;16;10;16;(Hidden);(Hidden);Normal;Attack on wings;(no tactic);6;1;8
631157394;15;4;27;4;29;7;25;7;11;7;10;6;13;5;19;8;17;9;(Hidden);(Hidden);Play creatively;Normal;13;(no tactic);9;0
631157395;5;10;5;15;7;19;6;17;6;9;6;6;6;6;8;16;9;15;(Hidden);(Hidden);Normal;Normal;(no tactic);(no tactic);0;8
631157396;3;4;6;5;5;5;3;5;7;6;5;6;7;7;6;6;8;7;(Hidden);(Hidden);Normal;Normal;(no tactic);(no tactic);3;2
631157397;14;3;13;6;18;6;19;3;15;7;7;5;19;7;16;7;16;8;(Hidden);(Hidden);Attack on wings;Normal;7;(no tactic);8;0
631157398;12;4;14;5;18;5;17;6;11;6;7;6;7;8;16;6;15;7;(Hidden);(Hidden);Normal;Normal;(no tactic);(no tactic);6;0
631157399;7;12;7;24;7;27;5;22;9;12;9;12;6;15;9;18;10;17;(Hidden);(Hidden);Normal;Play creatively;(no tactic);13;0;6
631157400;4;4;4;5;8;7;8;6;6;6;5;6;4;5;8;8;9;9;(Hidden);(Hidden);Normal;Normal;(no tactic);(no tactic);4;0
631157401;5;13;5;15;7;18;6;18;6;18;6;6;6;20;8;16;10;16;(Hidden);(Hidden);Normal;Attack on wings;(no tactic);7;1;10
631157402;4;4;5;4;5;7;6;7;5;7;5;6;7;5;6;8;7;9;(Hidden);(Hidden);Normal;Normal;(no tactic);(no tactic);5;1
